dataset of size: 100000

epoch [477/500], loss:0.0062
epoch [478/500], loss:0.0078
epoch [479/500], loss:0.0078
epoch [480/500], loss:0.0069
epoch [481/500], loss:0.0068
epoch [482/500], loss:0.0075
epoch [483/500], loss:0.0053
epoch [484/500], loss:0.0082
epoch [485/500], loss:0.0091
epoch [486/500], loss:0.0085
epoch [487/500], loss:0.0093
epoch [488/500], loss:0.0082
epoch [489/500], loss:0.0075
epoch [490/500], loss:0.0068
epoch [491/500], loss:0.0076
epoch [492/500], loss:0.0087
epoch [493/500], loss:0.0082
epoch [494/500], loss:0.0089
epoch [495/500], loss:0.0080
epoch [496/500], loss:0.0064
epoch [497/500], loss:0.0089
epoch [498/500], loss:0.0072
epoch [499/500], loss:0.0082
epoch [500/500], loss:0.0068
